title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Exploring the Pacific - Founders & Lost Cities - Extra History - Part 3,2020-07-04,404383,14653.0,700.0,OLrmHn8lOfk,542.0,https://www.youtube.com/watch?v=OLrmHn8lOfk,2493,50,Exploring the Pacific
Exploring the Pacific - Magellan's Mistake - Extra History - Part 4,2020-07-11,427168,14863.0,839.0,CqpQE7dFEuM,566.0,https://www.youtube.com/watch?v=CqpQE7dFEuM,2500,50,Exploring the Pacific
Exploring the Pacific - Farther Than Any Man - Extra History - Part 5,2020-07-18,309061,13435.0,572.0,8XQxOe9XT18,561.0,https://www.youtube.com/watch?v=8XQxOe9XT18,2507,50,Exploring the Pacific
Exploring the Pacific - LIES - Extra History,2020-08-01,75506,2010.0,166.0,wdj9cbkvHI4,1760.0,https://www.youtube.com/watch?v=wdj9cbkvHI4,2521,50,Exploring the Pacific
First Opium War - Trade Deficits and the Macartney Embassy - Extra History - Part 1,2016-06-18,5312906,64421.0,3529.0,fgQahGsYokU,465.0,https://www.youtube.com/watch?v=fgQahGsYokU,1016,77,First Opium War
First Opium War - The Righteous Minister - Extra History - Part 2,2016-06-25,3785843,47012.0,2093.0,qHmuuc7m1AA,413.0,https://www.youtube.com/watch?v=qHmuuc7m1AA,1023,77,First Opium War
First Opium War - Gunboat Diplomacy - Extra History - Part 3,2016-07-02,3018275,41818.0,1834.0,jAjUqwauf-A,489.0,https://www.youtube.com/watch?v=jAjUqwauf-A,1030,77,First Opium War
First Opium War - Conflagration and Surrender - Extra History - Part 4,2016-07-09,3040126,46161.0,2913.0,s9WRmsHFUg0,514.0,https://www.youtube.com/watch?v=s9WRmsHFUg0,1037,77,First Opium War
First Opium War - Lies - Extra History,2016-07-23,544318,7688.0,732.0,v9beMOxGOrk,1540.0,https://www.youtube.com/watch?v=v9beMOxGOrk,1051,77,First Opium War
His Monstrous Father - Frederick the Great - European History - Part 1 - Extra History,2023-01-14,1529053,49225.0,1633.0,FGVQKBm0McA,711.0,https://www.youtube.com/watch?v=FGVQKBm0McA,3417,9,Frederick the Great
The School of Battle - Frederick the Great - European History - Part 2 - Extra History,2023-01-21,964916,33202.0,684.0,d53_wvG8BXA,734.0,https://www.youtube.com/watch?v=d53_wvG8BXA,3424,9,Frederick the Great
Forging a Legend - Frederick the Great - European History - Part 3 - Extra History,2023-01-28,804402,28117.0,488.0,vJdjPwSJqd8,720.0,https://www.youtube.com/watch?v=vJdjPwSJqd8,3431,9,Frederick the Great
The Seven Years' War - Frederick the Great - European History - Part 4 - Extra History,2023-02-04,739817,25813.0,655.0,TqyLu-WGG9c,736.0,https://www.youtube.com/watch?v=TqyLu-WGG9c,3438,9,Frederick the Great
Who Wants to Live Forever? - Frederick the Great - European History - Part 5 - Extra History,2023-02-11,594758,27011.0,880.0,yjVrcnMbgQM,747.0,https://www.youtube.com/watch?v=yjVrcnMbgQM,3445,9,Frederick the Great
Frederick the Great - LIES - European History - Extra History,2023-02-25,91342,3176.0,179.0,KeRu7AYNFVo,1697.0,https://www.youtube.com/watch?v=KeRu7AYNFVo,3459,9,Frederick the Great
Genghis Khan - Temüjin the Child - Extra History - Part 1,2018-02-17,6041077,88501.0,4063.0,3cVTVF6ioaY,596.0,https://www.youtube.com/watch?v=3cVTVF6ioaY,1625,64,Genghis Khan
